#{"t_start": 1652661317.3871212, "env_id": "NovelGridworld-v0"}
r,l,t
222,9,28.837285
281,9,28.853287
303,15,28.884286
281,9,28.903287
250,18,28.939287
222,9,28.959286
278,10,28.981287
281,9,28.996286
300,16,29.028287
241,16,29.061285
219,9,29.080287
275,11,29.101288
281,9,29.121286
325,23,29.166287
281,9,29.184286
222,9,29.202287
281,9,29.221286
281,9,29.239286
222,9,29.257286
207,13,29.286286
222,9,29.306287
387,21,29.345287
219,10,29.365287
278,10,29.388287
222,9,29.407286
261,15,29.436287
219,10,29.455287
278,10,29.477287
219,10,29.497287
220,12,29.521286
290,20,29.562287
390,20,29.602287
282,35,29.672287
295,19,29.709287
287,21,29.751287
308,26,29.802287
278,10,29.823287
222,9,29.842287
230,9,29.862287
211,12,29.887286
300,16,29.926286
288,19,29.971287
281,9,29.992286
267,13,30.019286
219,10,30.038285
219,10,30.061287
273,11,30.083287
278,10,30.103287
274,23,30.150286
219,10,30.169286
281,9,30.188286
291,19,30.225287
281,9,30.246285
303,15,30.276287
284,8,30.295287
222,9,30.314288
281,9,30.333287
390,20,30.371287
219,10,30.394286
216,11,30.415285
297,17,30.449287
281,9,30.465286
390,20,30.509287
222,9,30.527287
297,17,30.565285
390,20,30.603287
272,12,30.625287
222,9,30.643286
284,8,30.661285
278,10,30.680287
284,8,30.697288
272,12,30.720286
390,20,30.761287
284,8,30.795287
275,11,30.819287
278,10,30.839287
278,10,30.859285
390,20,30.902287
219,10,30.922287
278,10,30.942285
278,10,30.964287
300,16,30.998883
300,16,31.033884
281,9,31.048884
222,9,31.071884
284,8,31.088886
381,23,31.130884
381,23,31.178885
281,9,31.196884
281,9,31.215884
219,10,31.236884
219,10,31.257885
275,11,31.277884
278,10,31.300885
281,9,31.319885
222,9,31.336885
278,10,31.356884
281,9,31.375885
284,8,31.396885
281,9,31.416884
219,10,31.436884
278,10,31.456885
284,8,31.474884
219,9,31.493885
272,12,31.516884
278,10,31.536885
284,8,31.553885
387,21,31.597884
216,11,31.617885
278,10,31.636885
278,10,31.658884
281,9,31.677884
281,9,31.694884
275,11,31.714885
387,21,31.758885
390,20,31.797885
281,9,31.819883
278,10,31.839885
275,11,31.860884
222,9,31.878884
281,9,31.900883
278,10,31.921884
284,8,31.938884
390,20,31.978884
219,10,32.000885
278,10,32.021884
219,10,32.041883
278,10,32.060885
281,9,32.080884
281,9,32.099885
272,12,32.124885
219,9,32.140884
219,10,32.163885
387,21,32.211885
272,12,32.232883
281,9,32.254885
284,8,32.268884
281,9,32.287884
390,20,32.327885
284,8,32.344885
278,10,32.363885
300,16,32.394884
387,21,32.435885
281,9,32.454884
222,9,32.472885
281,9,32.494884
390,20,32.532885
281,9,32.547884
219,10,32.570885
387,21,32.614884
390,20,32.654884
308,19,32.691884
222,9,32.709885
278,10,32.728884
227,10,32.751885
281,9,32.770884
278,10,32.789883
219,10,32.809885
284,8,32.829885
222,9,32.862884
284,8,32.879884
387,21,32.923885
284,8,32.940884
278,10,32.960884
281,9,32.980885
222,9,33.000885
222,9,33.019885
222,9,33.038885
222,9,33.056883
278,10,33.079885
281,9,33.098885
281,9,33.113885
222,9,33.131884
219,10,33.151886
278,10,33.173884
281,9,33.191886
278,10,33.211884
219,10,33.231885
222,9,33.253884
301,18,33.285884
275,11,33.313885
216,11,33.335885
281,9,33.354883
281,9,33.369885
281,9,33.387884
281,9,33.409885
278,10,33.429884
300,16,33.459883
281,9,33.480884
219,10,33.500885
219,10,33.520885
390,20,33.559883
278,10,33.581884
384,22,33.622884
264,14,33.653884
272,12,33.679883
275,11,33.702884
303,15,33.734885
281,9,33.753884
284,8,33.767885
278,10,33.787885
278,10,33.807884
281,9,33.828884
278,10,33.849883
278,10,33.869885
219,10,33.889885
281,9,33.910885
278,10,33.930885
219,10,33.949885
219,10,33.968884
278,10,33.988884
278,10,34.010885
281,9,34.028884
281,9,34.043885
303,15,34.072885
281,9,34.093885
284,8,34.110884
219,10,34.129885
281,9,34.147885
281,9,34.166884
219,10,34.187884
281,9,34.208885
278,10,34.229884
216,11,34.253885
219,10,34.274884
275,11,34.298885
222,8,34.315885
222,9,34.335885
199,15,34.366883
272,12,34.388884
278,10,34.410884
219,10,34.430885
281,9,34.449883
281,9,34.468885
222,9,34.489885
278,10,34.509884
222,9,34.530885
213,12,34.552884
278,10,34.575885
300,16,34.606883
284,8,34.623886
