#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
16,35,11.708418
48,3,11.711331
38,13,11.724084
44,7,11.751313
34,17,11.767052
34,17,11.7877
44,7,11.797344
50,1,11.799533
39,12,11.815217
41,10,11.827946
47,4,11.834106
16,35,11.87175
44,7,11.878717
46,5,11.884933
42,9,11.916622
38,13,11.928587
48,3,11.932195
46,5,11.937864
22,29,11.968252
42,9,11.98115
50,1,11.982664
44,7,11.989529
47,4,11.993675
44,7,12.001968
46,5,12.008316
40,11,12.022475
27,24,12.052766
46,5,12.057245
28,23,12.100512
38,13,12.120666
41,10,12.133948
21,30,12.166376
44,7,12.173784
26,25,12.199156
35,16,12.216279
41,10,12.249411
49,2,12.251778
49,2,12.254153
46,5,12.259125
44,7,12.26504
38,13,12.278356
44,7,12.287186
50,1,12.289322
45,6,12.296876
37,14,12.315374
42,9,12.326047
48,3,12.331142
50,1,12.333651
47,4,12.340248
17,34,12.380338
44,7,12.387821
44,7,12.395727
49,2,12.398836
41,10,12.427832
47,4,12.432372
50,1,12.434171
40,11,12.448023
44,7,12.456549
47,4,12.461113
41,10,12.471504
35,16,12.488589
49,2,12.491679
40,11,12.51153
47,4,12.517992
24,27,12.551172
50,1,12.552922
45,6,12.558631
36,15,12.572997
18,33,12.627275
47,4,12.633421
36,15,12.654081
35,16,12.668027
47,4,12.672369
48,3,12.676323
43,8,12.685901
43,8,12.695413
41,10,12.706108
41,10,12.717657
45,6,12.726189
39,12,12.763085
36,15,12.779957
45,6,12.78599
47,4,12.790627
49,2,12.79352
41,10,12.805928
41,10,12.819599
48,3,12.824846
43,8,12.833284
47,4,12.838271
47,4,12.844651
25,26,12.874063
30,21,12.903074
47,4,12.907919
38,13,12.943446
50,1,12.945137
50,1,12.94691
40,11,12.961693
42,9,12.972661
46,5,12.97938
42,9,12.991167
47,4,12.996875
39,12,13.015402
42,9,13.027696
42,9,13.039783
39,12,13.060869
32,19,13.079217
2,49,13.146203
45,6,13.154326
46,5,13.159765
39,12,13.173879
46,5,13.180179
38,13,13.197873
45,6,13.205879
47,4,13.210871
44,7,13.217817
-38,89,13.333437
47,4,13.338675
42,9,13.350752
30,21,13.368948
21,30,13.399781
-10,61,13.494982
39,12,13.508851
42,9,13.520223
27,24,13.549572
45,6,13.557089
48,3,13.560966
44,7,13.573577
45,6,13.578849
50,1,13.580293
42,9,13.590177
15,36,13.643448
47,4,13.647569
45,6,13.654088
45,6,13.660954
46,5,13.666668
44,7,13.674337
46,5,13.680487
25,26,13.713792
43,8,13.720802
46,5,13.726125
44,7,13.734583
50,1,13.7366
45,6,13.743602
46,5,13.751904
46,5,13.758945
49,2,13.76213
42,9,13.791384
47,4,13.795934
47,4,13.800318
50,1,13.801986
45,6,13.808087
45,6,13.813855
41,10,13.823575
50,1,13.825267
35,16,13.84827
49,2,13.850751
47,4,13.85447
39,12,13.865478
47,4,13.869783
39,12,13.884168
50,1,13.886444
46,5,13.894064
